home,首页
topo,拓扑
nodes,资源
alarms,故障
perf,性能
report,报表
users,用户
system,系统
,
alarms_console,监视面板
alarms,当前告警
histories,历史告警
alarms_stats_active,告警统计
alarms_stats_history,历史统计
alarms_classes,告警类型
alarms_knowledges,告警知识库
,
nodes,所有节点
cities,区域导航
entrances,接入点
routers,路由器
switches,交换机
olts,OLT
onus,ONU
eocs,EOC
cpes,CPE
areas,区域统计
vendors,厂商统计
categories,设备分类统计
category_vendors,设备分类厂商统计
,
ping,PING时延
cpumem,CPU/内存
intfusage,端口占用
intftraffic,端口流量
intftraffic_oltup,上联口流量流速
intftraffic_oltpon,PON口流量流速
ponusage,PON口占用率
ponpower,PON口光功率
intftraffic_onupon,PON口流量流速
intfusage_onu,用户口占用率
intftraffic_eocup,上联口流量流速
intftraffic_cpe,CPE流量流速
,
users,所有用户
users-new,新建用户
roles,所有角色
roles-new,新建角色
domains,所有管理域
domains-new,新建管理域
,
settings,参数设置
dict_codes,字典管理
thresholds,阀值管理
metrics,指标管理
timeperiods,采集规则
seclogs,安全日志
oplogs,操作日志
hosts,所有服务器
subsystems,所有子系统
,
categories,分类
permissions,权限
vendors,供应商
models,型号
sysoids,SysOID
modules,监控模块
monitors,监控器
mib1,mib1
mib2,mib2
mib3,mib3
mib4,mib4
mib5,mib5
,
user_info,个人信息
change_password,修改密码
,
alarms_stats_by_last10,最近10条告警
alarms_stats_by_severity,告警概况
alarms_stats_by_category,告警分类
alarms_stats_by_class,告警类型
alarms_stats_by_node_category,设备告警
alarms_stats_by_node_vendor,厂商告警
category_statistic,分类统计
vendor_statistic,厂商统计
area_statistic,区域统计
category_vendors,设备分类厂商统计
